ACS,KpR,DpR,ApR,KAST,ADR,HS,FK,FD,W/L
1148,141,81,50,-1,743,145,23,10,1
724,80,141,42,-1,513,121,10,23,0
984,238,246,100,-1,653,142,34,36,0
985,245,238,89,-1,646,140,36,34,1
927,197,229,87,-1,625,141,25,36,0
1063,229,198,101,-1,699,121,36,25,1
965,113,146,37,-1,624,146,13,22,0
1125,146,113,80,-1,724,139,22,13,1
982,196,182,82,-1,633,147,30,25,1
967,182,197,82,-1,654,120,25,30,0
1086,167,144,79,-1,710,127,18,25,1
962,144,167,54,-1,617,142,25,18,0
952,149,172,48,-1,627,132,20,26,0
1052,172,149,84,-1,668,130,26,20,1
1016,216,204,111,-1,648,104,29,32,1
944,204,216,83,-1,625,164,32,29,0
1059,247,247,93,-1,710,158,29,38,1
1036,247,247,103,-1,698,144,38,29,0
1126,150,109,70,-1,723,181,27,10,1
868,109,150,57,-1,591,137,10,27,0
952,139,172,50,-1,632,122,20,24,0
1091,172,139,83,-1,715,135,24,20,1
790,120,162,45,-1,546,104,19,23,0
1139,162,120,82,-1,705,157,23,19,1
861,157,223,77,-1,577,115,16,39,0
1114,223,157,76,-1,713,165,39,16,1
1046,353,300,142,-1,677,122,51,45,1
893,300,354,136,-1,592,160,45,51,0
979,204,187,93,371,651,145,33,26,1
930,187,204,82,327,590,124,26,33,0
949,235,246,83,336,624,183,38,32,0
993,245,235,132,366,642,122,32,38,1
1174,147,93,62,420,776,168,22,12,1
842,93,147,46,301,565,154,12,22,0
853,188,215,62,347,600,155,34,28,1
982,215,188,81,357,614,147,28,34,0
1044,202,181,74,372,687,128,32,23,1
928,181,202,63,320,621,147,23,32,0
816,104,145,37,307,532,170,17,20,0
1073,145,104,69,422,715,187,20,17,1
985,142,155,60,326,671,170,17,25,0
1061,155,142,68,367,679,151,25,17,1
1124,180,115,86,396,707,131,23,21,1
780,115,180,54,286,536,144,21,23,0
1114,166,137,87,393,722,156,20,22,1
953,137,166,69,340,620,122,22,20,0
997,208,190,86,370,672,120,28,30,1
955,190,208,79,331,633,145,30,28,0
1061,142,112,64,379,691,177,26,11,1
894,112,142,49,337,585,128,11,26,0
892,134,170,66,328,596,144,19,24,0
1096,170,134,85,395,728,147,24,19,1
963,160,164,62,389,635,125,19,28,0
967,164,160,68,384,643,145,28,19,1
1137,152,113,73,390,746,127,22,15,1
908,113,152,38,332,627,141,15,22,0
968,248,249,111,358,639,173,35,37,1
979,249,248,104,372,673,149,37,35,0
1068,148,110,62,379,701,123,18,20,1
873,110,148,57,326,593,149,20,18,0
1029,154,139,61,360,669,141,18,24,1
939,139,154,56,348,618,121,24,18,0
1175,164,120,73,399,726,152,20,19,1
887,120,164,56,318,590,171,19,20,0
963,213,215,94,339,640,173,39,24,0
976,215,213,105,364,625,102,24,39,1
986,217,181,95,390,645,152,39,22,1
871,181,217,78,330,586,120,22,39,0
1067,142,100,64,377,683,133,19,17,1
823,100,142,45,305,544,158,17,19,0
938,228,236,82,348,635,168,35,34,1
973,236,229,122,355,636,114,34,35,0
1117,148,95,61,400,750,153,23,14,1
750,95,148,30,295,482,133,14,23,0
989,231,234,98,376,665,138,36,29,1
1031,234,231,97,353,662,141,29,36,0
1012,229,218,105,375,644,115,33,32,1
944,218,229,98,361,628,129,32,33,0
1055,222,184,99,377,678,124,27,32,1
871,184,222,77,336,582,144,32,27,0
989,236,229,80,349,644,146,27,40,1
965,229,236,92,380,629,150,40,27,0
974,256,261,118,366,633,157,36,38,0
990,261,256,135,361,668,113,38,36,1
889,142,162,69,335,586,128,22,24,0
1040,162,142,50,347,689,151,24,22,1
921,135,163,77,323,588,102,16,27,0
1051,163,135,73,376,717,140,27,16,1
1033,170,156,91,391,684,170,26,21,1
959,156,170,59,347,637,132,21,26,0
1082,285,239,142,384,718,116,37,37,1
903,239,285,117,355,613,196,37,37,0
1063,310,253,145,374,704,136,44,37,1
904,252,311,126,332,610,114,37,44,0
876,162,214,91,332,586,139,28,26,0
1129,214,163,82,391,737,147,26,28,1
995,225,204,126,374,653,149,36,29,1
926,204,225,105,356,605,127,29,36,0
1042,248,223,95,381,662,128,35,33,0
932,222,248,101,353,613,145,33,35,1
1053,144,105,61,413,681,124,22,15,1
832,105,144,26,324,547,149,15,22,0
1102,198,164,101,390,749,146,29,21,1
941,164,198,57,342,639,139,21,29,0
1057,167,141,60,348,674,138,22,22,1
954,141,167,63,332,646,140,22,22,0
965,253,254,90,360,648,155,39,35,1
971,252,253,87,347,640,147,35,39,0
1106,220,169,81,382,719,164,32,24,1
899,169,221,77,325,578,129,24,32,0
1043,142,118,82,418,673,146,22,16,1
882,118,142,49,333,576,140,16,22,0
1031,235,224,90,373,680,149,37,28,1
993,223,235,110,363,665,165,28,37,0
917,169,202,74,333,611,137,25,27,0
1095,202,169,85,395,723,175,27,25,1
964,233,234,103,348,632,131,34,34,1
993,232,233,102,351,649,138,34,34,0
1078,167,135,61,370,670,172,26,17,1
897,135,167,66,355,570,133,17,26,0
912,137,155,66,363,598,170,21,23,0
1007,155,138,62,380,661,153,23,21,1
925,207,250,102,338,596,152,29,36,0
1056,250,207,111,387,720,134,36,29,1
937,215,236,87,350,619,141,32,34,0
1012,236,215,120,386,671,147,34,32,1
1089,149,114,50,388,723,154,22,16,1
880,114,149,40,329,588,139,16,22,0
1025,227,226,87,372,666,140,35,30,1
1001,226,230,100,358,679,150,30,35,0
999,226,229,117,373,655,137,39,24,1
1033,229,226,102,386,682,162,24,39,0
1182,146,79,60,419,765,139,19,14,1
686,79,146,40,290,469,189,14,19,0
1016,189,178,88,377,636,157,30,24,1
929,178,189,77,360,593,134,24,30,0
1041,222,194,104,358,685,144,35,26,1
917,194,222,72,328,615,168,26,35,0
